trial_number, d_state, d_conv, expand, batch_size, dropout_rate        , num_mamba_layers, n_mfcc, n_fft, hop_length, n_mels, noise_level         , shift, lr                    , weight_decay          , train_accuracy    , test_accuracy     , val_accuracy      , model_size, epochs_to_converge, model_path
          68,      15,      7,      2,         32, 0.22468784343142556 ,                4,     20,   282,        226,     37, 0.19034263150265224 ,    97, 0.0005128236166943952 , 9.115007392922081e-06 , 92.61919464395983 , 91.62984781541482 , 92.73561976775588 ,     167338,                 59, best_model_trial_68.pt
          67,       8,      8,      2,         31, 0.38721803786212405 ,                4,     17,   484,        137,     39, 0.14498303198994286 ,    99, 0.0008431260922891309 , 8.7402876592472e-06   , 95.09246319347395 , 93.42169857633775 , 94.49095328112341 ,     390236,                 56, best_model_trial_67.pt
          70,      21,      6,      2,         30, 0.3509578127765005  ,                4,     30,   304,        195,     45, 0.14823800885822133 ,    81, 0.0009903750118319871 , 6.40315597660744e-05  , 95.7262179466346  , 94.2071674030437  , 94.65298406697272 ,     234706,                 71, best_model_trial_70.pt
          81,       8,      7,      2,         27, 0.38097613050044693 ,                2,     29,   336,        349,     67, 0.11417896008465474 ,    97, 0.0022115947186458077 , 1.2199438749445083e-05, 87.3866553999155  , 88.34069710358371 , 90.06211180124224 ,      38785,                 32, best_model_trial_81.pt
          83,      20,      6,      3,         28, 0.3460156554839344  ,                2,     28,   472,        516,     53, 0.17375733410135072 ,    97, 0.0025891768794618695 , 1.15745599186065e-05  , 86.05089538171536 , 87.33431516936672 , 89.87307588441804 ,      37696,                 45, best_model_trial_83.pt
          84,      26,      5,      2,         26, 0.3391961285584189  ,                4,     25,   384,        441,     47, 0.17881929315935424 ,    89, 0.0033922094261981048 , 2.126940497583742e-06 , 89.39842048815366 , 89.27344133529701 , 91.27734269511207 ,      66092,                 48, best_model_trial_84.pt
          94,      23,      6,      3,         32, 0.301357159138838   ,                4,     24,   218,        330,     52, 0.08784541409911596 ,    87, 0.0027766299813908103 , 9.102788486937936e-05 , 92.6256946927102  , 92.07167403043692 , 92.89765055360519 ,     146010,                 29, best_model_trial_94.pt
         100,      19,      5,      2,         19, 0.4562749972918306  ,                3,     28,   350,        236,     45, 0.139217778346002   ,    85, 0.0005383142782236268 , 9.124618356524631e-05 , 93.46095095713218 , 92.93078055964654 , 93.95085066162571 ,     123589,                 58, best_model_trial_100.pt
         112,      27,      5,      2,         28, 0.433331129927062   ,                4,     29,   288,        226,     40, 0.16355095332459374 ,    70, 0.0010383906187435752 , 1.3293719540203875e-05, 93.54870161526212 , 92.63622974963181 , 93.86983526870105 ,     188866,                 58, best_model_trial_112.pt
         123,      18,      3,      2,         30, 0.25062472954467363 ,                2,     25,   272,        396,     27, 0.14549130402430566 ,    87, 0.0040692143829941275 , 1.6568172067999302e-05, 89.89242419318145 , 91.06529209621993 , 92.46556845800703 ,      36004,                 48, best_model_trial_123.pt
         132,      30,      6,      2,         30, 0.1713509384571076  ,                3,     23,   285,        208,     54, 0.11129534971899527 ,    94, 0.0013080379752617099 , 4.4804748237647e-06   , 95.2159641197309  , 93.54442808051056 , 94.22090197137456 ,     167086,                 45, best_model_trial_132.pt
         145,       9,      8,      2,         22, 0.26531451110092513 ,                3,     29,   381,        132,     55, 0.1881082674899463  ,    87, 0.0005231352683162272 , 1.7534305955210726e-06, 94.92671195033962 , 93.34806087383407 , 93.89684039967594 ,     324730,                 63, best_model_trial_145.pt
         159,       8,      7,      2,         32, 0.36485331535556526 ,                4,     28,   332,        155,     52, 0.14167592113322533 ,    43, 0.00020996074097968755, 1.5442681785820643e-05, 92.6061945464591  , 90.00981836033382 , 91.38536321901161 ,     315430,                 52, best_model_trial_159.pt
         174,      10,      8,      2,         26, 0.4538610779007087  ,                3,     23,   229,         82,     34, 0.10764144086930447 ,    89, 0.0019357071698051368 , 2.4490240494981008e-06, 94.56595924469434 , 93.98625429553265 , 94.70699432892249 ,     794314,                 44, best_model_trial_174.pt
         176,       9,      8,      2,         20, 0.39212219914796714 ,                2,     18,   223,        140,     35, 0.09768971191191061 ,    89, 0.005805009857547187  , 1.8218476094085906e-06, 61.13295849718873 , 47.889052528227786, 51.687820685930326,     194426,                 10, best_model_trial_176.pt
         178,      12,      7,      2,         27, 0.47852246039722324 ,                3,     24,   209,        130,     39, 0.09348420280576492 ,    99, 0.002789545205312344  , 5.090705160774787e-06 , 93.2106990802431  , 93.20078546882671 , 93.57277882797732 ,     338635,                 35, best_model_trial_178.pt
         179,      11,      8,      2,         24, 0.39673046654680433 ,                3,     24,   344,        236,     28, 0.0630091137171481  ,    69, 0.001069249098529416  , 3.4861739284614373e-06, 93.37645032337743 , 91.72803141875306 , 92.68160950580611 ,     114067,                 43, best_model_trial_179.pt
         185,      26,      8,      2,         30, 0.25851808139885835 ,                2,     30,   352,        466,     30, 0.19542032206955587 ,    71, 0.000578647938692424  , 3.5704624198304994e-06, 85.35539016542624 , 86.99067255768287 , 88.98190656224682 ,      32986,                 45, best_model_trial_185.pt
         195,      12,      8,      2,         30, 0.4129471078530203  ,                4,     28,   328,        176,     39, 0.16420793564369693 ,    81, 0.0021938435408908365 , 3.851174020987376e-05 , 94.58220936657025 , 94.23171330387825 , 94.8690251147718  ,     255770,                 40, best_model_trial_195.pt
         230,       8,      8,      2,         31, 0.36506664544330913 ,                4,     28,   323,         43,     42, 0.16639961167467385 ,    79, 0.004193400625129504  , 9.44760527073716e-05  , 10.185576391822938,  9.965635738831615, 10.180934377531731,    3642770,                  6, best_model_trial_230.pt
         231,      19,      7,      2,         32, 0.18461230261212658 ,                4,     30,   461,        157,     40, 0.1541056160417087  ,    98, 0.0035422048700103448 , 5.501440848989456e-06 , 10.185576391822938,  9.965635738831615, 10.180934377531731,     332288,                  9, best_model_trial_231.pt
         232,      14,      8,      2,         28, 0.4916485853344133  ,                4,     22,   217,        251,     29, 0.17651523065808555 ,    76, 0.001188168651965857  , 1.8529975883129214e-05, 91.59218694140206 , 90.62346588119784 , 92.57358898190657 ,     139500,                 46, best_model_trial_232.pt
         233,      14,      8,      3,         32, 0.33970057271835596 ,                3,     29,   277,         73,     29, 0.15797074108178538 ,    74, 0.0009507250150088996 , 8.19996842614209e-06  , 93.41545061587962 , 92.80805105547374 , 93.49176343505266 ,    1502368,                 38, best_model_trial_233.pt
